x0,x1,x2,x3,x4,x5,y
0.2,0.2,10.0,100.0,10.0,0.08319,0.00087996
0.2,0.2,10.0,100.0,10.0,0.7834,0.0087996
0.2,0.2,10.0,100.0,10.0,0.84094,0.0096796
0.2,0.2,10.0,100.0,10.0,0.88892,0.01056
0.2,0.2,10.0,100.0,10.0,0.92659,0.01144
0.2,0.2,10.0,100.0,10.0,0.95147,0.012319
0.2,0.2,10.0,100.0,10.0,0.97208,0.013199
0.2,0.2,10.0,100.0,10.0,0.98681,0.014079
0.2,0.2,10.0,100.0,10.0,0.99075,0.014959
0.2,0.2,10.0,100.0,10.0,0.9947,0.015839
0.2,0.2,10.0,100.0,10.0,0.99864,0.016719
0.2,0.2,10.0,100.0,10.0,0.16618,0.0017599
0.2,0.2,10.0,100.0,10.0,1.0026,0.017599
0.2,0.2,10.0,100.0,10.0,0.24853,0.0026399
0.2,0.2,10.0,100.0,10.0,0.33002,0.0035199
0.2,0.2,10.0,100.0,10.0,0.41041,0.0043998
0.2,0.2,10.0,100.0,10.0,0.48937,0.0052798
0.2,0.2,10.0,100.0,10.0,0.56684,0.0061597
0.2,0.2,10.0,100.0,10.0,0.64224,0.0070397
0.2,0.2,10.0,100.0,10.0,0.71518,0.0079197
0.2,0.2,10.0,1000.0,10.0,0.14412,0.00015262
0.2,0.2,10.0,1000.0,10.0,0.98357,0.0015262
0.2,0.2,10.0,1000.0,10.0,0.99207,0.0016788
0.2,0.2,10.0,1000.0,10.0,1.0006,0.0018314
0.2,0.2,10.0,1000.0,10.0,1.0083,0.0019841
0.2,0.2,10.0,1000.0,10.0,1.0154,0.0021367
0.2,0.2,10.0,1000.0,10.0,1.0231,0.0022893
0.2,0.2,10.0,1000.0,10.0,1.0307,0.0024419
0.2,0.2,10.0,1000.0,10.0,1.0382,0.0025945
0.2,0.2,10.0,1000.0,10.0,1.0454,0.0027472
0.2,0.2,10.0,1000.0,10.0,1.0525,0.0028998
0.2,0.2,10.0,1000.0,10.0,0.28675,0.00030524
0.2,0.2,10.0,1000.0,10.0,1.0592,0.0030524
0.2,0.2,10.0,1000.0,10.0,0.4266,0.00045786
0.2,0.2,10.0,1000.0,10.0,0.56189,0.00061048
0.2,0.2,10.0,1000.0,10.0,0.6911,0.0007631
0.2,0.2,10.0,1000.0,10.0,0.804,0.00091572
0.2,0.2,10.0,1000.0,10.0,0.88666,0.0010683
0.2,0.2,10.0,1000.0,10.0,0.94317,0.001221
0.2,0.2,10.0,1000.0,10.0,0.97507,0.0013736
0.2,0.2,10.0,200.0,10.0,0.087751,0.0004641
0.2,0.2,10.0,200.0,10.0,0.81636,0.004641
0.2,0.2,10.0,200.0,10.0,0.87141,0.0051051
0.2,0.2,10.0,200.0,10.0,0.91545,0.0055692
0.2,0.2,10.0,200.0,10.0,0.94524,0.0060333
0.2,0.2,10.0,200.0,10.0,0.97302,0.0064974
0.2,0.2,10.0,200.0,10.0,0.97968,0.0069615
0.2,0.2,10.0,200.0,10.0,0.98575,0.0074256
0.2,0.2,10.0,200.0,10.0,0.99183,0.0078897
0.2,0.2,10.0,200.0,10.0,0.9979,0.0083538
0.2,0.2,10.0,200.0,10.0,1.0029,0.0088179
0.2,0.2,10.0,200.0,10.0,0.17525,0.0009282
0.2,0.2,10.0,200.0,10.0,1.0067,0.009282
0.2,0.2,10.0,200.0,10.0,0.26201,0.0013923
0.2,0.2,10.0,200.0,10.0,0.34775,0.0018564
0.2,0.2,10.0,200.0,10.0,0.43229,0.0023205
0.2,0.2,10.0,200.0,10.0,0.51511,0.0027846
0.2,0.2,10.0,200.0,10.0,0.59625,0.0032487
0.2,0.2,10.0,200.0,10.0,0.67474,0.0037128
0.2,0.2,10.0,200.0,10.0,0.75016,0.0041769
0.2,0.2,10.0,300.0,10.0,0.10994,0.0003877
0.2,0.2,10.0,300.0,10.0,0.93388,0.003877
0.2,0.2,10.0,300.0,10.0,0.96344,0.0042647
0.2,0.2,10.0,300.0,10.0,0.98719,0.0046524
0.2,0.2,10.0,300.0,10.0,0.99206,0.0050401
