x0,x1,x2,x3,x4,x5,y
0.2,0.6,10.0,1000.0,5.0,1.0446,0.0016898
0.6,0.8,4.0,1000.0,7.5,1.3772,0.014332
0.6,0.8,4.0,1000.0,7.5,0.91723,0.0028664
0.6,0.8,4.0,1000.0,7.5,0.98148,0.0035829
0.6,0.8,4.0,1000.0,7.5,1.0138,0.0042995
0.2,0.6,10.0,1000.0,5.0,1.0568,0.0018588
0.6,0.8,4.0,1000.0,7.5,1.0909,0.0057327
0.6,0.8,4.0,1000.0,7.5,1.1274,0.0064493
0.6,0.8,4.0,1000.0,7.5,1.0515,0.0050161
0.6,0.8,4.0,1000.0,7.5,0.79042,0.0021498
0.8,0.2,4.0,100.0,40.0,0.80824,0.12312
0.2,0.8,3.0,1000.0,5.0,0.31066,0.00021725
0.2,0.8,3.0,1000.0,5.0,1.4038,0.0021725
0.2,0.8,3.0,1000.0,5.0,1.45,0.0023897
0.2,0.8,3.0,1000.0,5.0,1.4914,0.002607
0.2,0.8,3.0,1000.0,5.0,1.533,0.0028242
0.2,0.8,3.0,1000.0,5.0,1.5734,0.0030415
0.2,0.8,3.0,1000.0,5.0,1.6089,0.0032587
0.2,0.8,3.0,1000.0,5.0,1.6441,0.003476
0.2,0.8,3.0,1000.0,5.0,1.6789,0.0036932
0.2,0.8,3.0,1000.0,5.0,1.7117,0.0039105
0.2,0.8,3.0,1000.0,5.0,1.7425,0.0041277
0.2,0.8,3.0,1000.0,5.0,0.61569,0.0004345
0.2,0.8,3.0,1000.0,5.0,1.7733,0.004345
0.2,0.8,3.0,1000.0,5.0,0.89749,0.00065174
0.2,0.8,3.0,1000.0,5.0,1.0217,0.00086899
0.2,0.8,3.0,1000.0,5.0,1.0987,0.0010862
0.2,0.8,3.0,1000.0,5.0,1.1744,0.0013035
0.2,0.8,3.0,1000.0,5.0,1.2434,0.0015207
0.2,0.8,3.0,1000.0,5.0,1.299,0.001738
0.2,0.8,3.0,1000.0,5.0,1.3519,0.0019552
0.6,1.0,20.0,1000.0,6.0,0.76113,0.0017679
0.6,1.0,20.0,1000.0,6.0,0.60113,0.0013259
0.6,1.0,20.0,1000.0,6.0,0.91731,0.0026518
0.6,1.0,20.0,1000.0,6.0,0.93773,0.0030937
0.6,1.0,20.0,1000.0,6.0,0.94611,0.0035357
0.6,1.0,20.0,1000.0,6.0,0.95255,0.0039777
0.6,1.0,20.0,1000.0,6.0,0.41085,0.00088393
0.2,0.8,4.0,1000.0,5.0,0.27988,0.00019564
0.2,0.8,4.0,1000.0,5.0,1.2434,0.0019564
0.2,0.8,4.0,1000.0,5.0,1.2754,0.002152
0.2,0.8,4.0,1000.0,5.0,1.3062,0.0023476
0.2,0.8,4.0,1000.0,5.0,1.3312,0.0025433
0.2,0.8,4.0,1000.0,5.0,1.356,0.0027389
0.2,0.8,4.0,1000.0,5.0,1.3806,0.0029345
0.2,0.8,4.0,1000.0,5.0,1.4045,0.0031302
0.2,0.8,4.0,1000.0,5.0,1.4251,0.0033258
0.2,0.8,4.0,1000.0,5.0,1.4456,0.0035214
0.2,0.8,4.0,1000.0,5.0,1.4658,0.0037171
0.2,0.8,4.0,1000.0,5.0,0.55516,0.00039127
0.2,0.8,4.0,1000.0,5.0,1.4857,0.0039127
0.2,0.8,4.0,1000.0,5.0,0.81802,0.00058691
0.2,0.8,4.0,1000.0,5.0,0.98805,0.00078254
0.2,0.8,4.0,1000.0,5.0,1.0366,0.00097818
0.2,0.8,4.0,1000.0,5.0,1.0847,0.0011738
0.2,0.8,4.0,1000.0,5.0,1.1329,0.0013694
0.2,0.8,4.0,1000.0,5.0,1.1783,0.0015651
0.2,0.8,4.0,1000.0,5.0,1.211,0.0017607
0.2,0.4,4.0,1000.0,5.0,1.2784,0.0029405
0.4,0.8,10.0,1000.0,5.0,0.9347,0.00166
0.6,1.0,10.0,1000.0,6.0,0.19904,0.00042344
0.6,1.0,10.0,1000.0,6.0,0.97832,0.0042344
0.6,1.0,10.0,1000.0,6.0,0.98581,0.0046579
0.6,0.8,4.0,1000.0,7.5,1.3024,0.011465
0.6,1.0,10.0,1000.0,6.0,0.99903,0.0055048
0.6,1.0,10.0,1000.0,6.0,1.0049,0.0059282
0.6,1.0,10.0,1000.0,6.0,1.0106,0.0063516
0.6,1.0,10.0,1000.0,6.0,1.0164,0.0067751
0.6,1.0,10.0,1000.0,6.0,1.0222,0.0071985
0.6,1.0,10.0,1000.0,6.0,1.028,0.007622
0.6,1.0,10.0,1000.0,6.0,1.0336,0.0080454
0.2,0.4,20.0,1000.0,5.0,0.98673,0.0011772
0.6,1.0,10.0,1000.0,6.0,1.039,0.0084689
0.6,1.0,10.0,1000.0,6.0,0.58017,0.0012703
0.6,1.0,10.0,1000.0,6.0,0.74182,0.0016938
0.6,1.0,10.0,1000.0,6.0,0.85885,0.0021172
0.4,0.6,20.0,1000.0,6.667,0.18242,0.00031946
0.4,0.6,20.0,1000.0,6.667,0.97712,0.0031946
0.4,0.6,20.0,1000.0,6.667,0.98126,0.003514
0.4,0.6,20.0,1000.0,6.667,0.98515,0.0038335
0.4,0.6,20.0,1000.0,6.667,0.98849,0.0041529
0.4,0.6,20.0,1000.0,6.667,0.9916,0.0044724
0.4,0.6,20.0,1000.0,6.667,0.99448,0.0047919
0.4,0.6,20.0,1000.0,6.667,0.99707,0.0051113
0.2,0.8,6.0,1000.0,5.0,0.26372,0.00018431
0.2,0.8,6.0,1000.0,5.0,1.1358,0.0018431
0.2,0.8,6.0,1000.0,5.0,1.1542,0.0020274
0.2,0.8,6.0,1000.0,5.0,1.1722,0.0022117
0.2,0.8,6.0,1000.0,5.0,1.1896,0.002396
0.2,0.8,6.0,1000.0,5.0,1.2042,0.0025803
0.2,0.8,6.0,1000.0,5.0,1.2179,0.0027646
0.2,0.8,6.0,1000.0,5.0,1.2314,0.002949
0.2,0.8,6.0,1000.0,5.0,1.2447,0.0031333
0.2,0.8,6.0,1000.0,5.0,1.2573,0.0033176
0.2,0.8,6.0,1000.0,5.0,1.2681,0.0035019
0.2,0.8,6.0,1000.0,5.0,0.52307,0.00036862
0.2,0.8,6.0,1000.0,5.0,1.2791,0.0036862
0.2,0.8,6.0,1000.0,5.0,0.7706,0.00055293
0.2,0.8,6.0,1000.0,5.0,0.92946,0.00073724
0.2,0.8,6.0,1000.0,5.0,1.0082,0.00092155
